sentiment,reviews,translated_reviews
0,teacher are punctual but they should also give us the some practical knowledge other than theortical,guru tepat waktu tetapi mereka juga harus memberi kita beberapa pengetahuan praktis selain teorsial
1,Good,Bagus
1,Excellent lectures are delivered by teachers and all teachers are very punctual.,Kuliah yang sangat baik disampaikan oleh guru dan semua guru sangat tepat waktu.
1,Good,Bagus
1,teachers give us all the information required to improve the performance.,Guru memberi kami semua informasi yang diperlukan untuk meningkatkan kinerja.
1,Yes,Ya
1,good and punctual,Baik dan tepat waktu
1,It is good,Ini baik
1,Good,Bagus
1,Good,Bagus
1,It's good when compare with my Btech lectures and teaching activities.,Bagus saat dibandingkan dengan kuliah BTech dan kegiatan pengajaran saya.
1,Good,Bagus
1,way of teaching is good,Cara mengajar itu bagus
0,"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is fine.","Pengajaran di universitas di sini sangat bergantung pada slide, meskipun ini adalah cara yang mudah untuk mengajar, namun masih meninggalkan beberapa konsep tidak jelas. Namun, interaksi dengan fakultas baik. Pengiriman kuliah terkadang tidak memenuhi harapan dan kecermatan waktu baik."
1,Good,Bagus
1,Good,Bagus
1,As compared to other colleges and university our university is perfect in all the aspects,Dibandingkan dengan perguruan tinggi lain dan universitas universitas kami sangat cocok dalam semua aspek
1,Good,Bagus
1,Lectures helps in clear our concept,Ceramah membantu membersihkan konsep kami
0,"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.","Bicara tentang ketepatan waktu, ini sangat bagus tetapi pengiriman kuliah entah bagaimana tidak dihargai karena setiap guru memiliki gaya mengajar yang berbeda, sehingga kurangnya pengetahuan dalam hal subjek ada dan interaksi juga agak membosankan. Seorang guru juga harus menghibur tetapi mereka benar -benar tidak. Yang mereka ingin kita menjadi studio dan disiplin yang benar -benar bukan pemikiran dari setiap siswa."
1,"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input.","Universitas sangat pandai memberikan kuliah yang tepat, juga interaksi dengan siswa adalah keturunan. Terkadang para guru kurang dalam hal ketepatan waktu tetapi universitas secara keseluruhan memberikan masukan yang baik."
1,Good,Bagus
1,Good,Bagus
1,lecturer are punctual and can interact them easily.,Dosen tepat waktu dan dapat berinteraksi dengan mudah.
1,Good,Bagus
1,Good,Bagus
0,Punctuality is good. Most of the teachers are not interacting with students .,Ketepatan waktu itu bagus. Sebagian besar guru tidak berinteraksi dengan siswa.
1,Good,Bagus
1,nice,Bagus
-1,lecture delivery is not so good,Pengiriman kuliah tidak begitu bagus
1,It's good,Ini baik
1,"Discipline, punctuality , lecture delivery all are good but have to do some work for quality of lecture","Disiplin, ketepatan waktu, pengiriman kuliah semuanya baik tetapi harus melakukan beberapa pekerjaan untuk kualitas kuliah"
0,"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems","Interaksi sangat bagus, bahan suplemen akurat disediakan tetapi rekomendasi buku sangat buruk, perubahan guru tertentu setelah 3 bulan atau satu semester subjek yang sama menyebabkan masalah"
1,Perfect,Sempurna
1,It is really good,Itu sangat bagus
0,Very good teaching and management but too much load on student and working hours,Pengajaran dan manajemen yang sangat baik tetapi terlalu banyak beban pada siswa dan jam kerja
-1,in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they do not interact and do not litsn our problms that means they do not coprate.,"Dalam hal penyampaian materi kuliah, itu baik. Dalam hal ketepatan waktu, itu juga baik. Namun, dalam hal interaksi, itu sangat buruk. Ada beberapa guru yang tidak berinteraksi dan tidak mendengarkan masalah kami, artinya mereka tidak bekerja sama.



"
1,According to me everything is going well in accordance to interaction.More than enough is served.,Menurut saya semuanya berjalan baik sesuai dengan interaksi. Lebih dari cukup disajikan.
0,Very good teaching and management but too much load on student and working hours,Pengajaran dan manajemen yang sangat baik tetapi terlalu banyak beban pada siswa dan jam kerja
-1,not effective and satisfactory in terms of lecture delivery by all the faculty .,Tidak efektif dan memuaskan dalam hal pengiriman kuliah oleh semua fakultas.
1,Good,Bagus
1,Good,Bagus
1,Accurate,Tepat
1,It's good,Ini baik
1,Good,Bagus
1,it is good depending on the faculty,itu baik tergantung pada fakultas
1,"maintained punctuality, good lecture delivery","Ketepatan waktu yang dipertahankan, pengiriman kuliah yang baik"
0,average,rata-rata
0,average,rata-rata
1,good,Bagus
1,good,Bagus
1,good,Bagus
1,good,Bagus
0,average,rata-rata
1,good,Bagus
1,"it is quite good , depending on teacher and their experience","itu cukup bagus, tergantung pada guru dan pengalaman mereka"
1,"it is quite good , depends upon teacher and their experience","itu cukup bagus, tergantung pada guru dan pengalaman mereka"
1,the way of teaching is good but the time more than enough,Cara mengajar itu baik tetapi waktu lebih dari cukup
1,good teaching delivery,Pengiriman Pengajaran yang Baik
1,"good, teacher is delivery the lecture in the best way they can","Bagus, guru mengirim kuliah dengan cara terbaik yang mereka bisa"
