sentiment,reviews
0,1,teacher punctual practical knowledge theortical
1,2,good
2,2,excellent lecture delivered teacher teacher punctual
3,2,teacher information required improve performance
4,2,yes
5,2,punctual
6,2,it is good
7,2,compare btech lecture teaching activity
8,2,teaching
9,1,university teaching dependent slidesthough easy teaching leaving concept unclearotherwise interaction faculty lecture delivery sometimes mark punctuality fine
10,2,compared college university university perfect aspect
11,2,lecture help concept
12,1,talk punctuality lecture delivery somehow appreciated teacher style teaching lack knowledge term subject interaction boring teacher entertaining studio disciplined thinking
13,2,university delivering proper lecture interaction descent sometimes teacher lack term punctuality overall university giving input
14,2,punctual interact easily
15,1,punctuality teacher interacting
16,0,lecture delivery
17,2,discipline punctuality lecture delivery quality lecture
18,1,interaction accurate supplement material provided recommendation book poorthe change particular teacher month semester subject cause
19,2,perfect
20,2,it is really good
21,1,teaching management load hour
22,0,term lecture delivery punctuality term interaction bad teacher interact listen indicates lack cooperation
23,2,according accordance interaction served
24,0,effective satisfactory term lecture delivery faculty
25,2,accurate
26,2,depending faculty
27,2,maintained punctuality lecture delivery
28,1,average
29,2,depending teacher experience
30,2,teaching time
31,2,teaching delivery
32,2,teacher delivery lecture
33,1,qualified teacher lack interaction fails describe topic
34,2,teaching facility lecture fruitful teacher punctual
35,1,interaction male punctuality maintained lecture delivery peak quality
36,2,all thing are good
37,2,activties
38,2,university serious concept practicals
39,2,lecture delivery depends teacher knowledge punctuality
40,2,teaching average
41,0,not so good
42,2,staff highly punctual interactive encourage participate class
43,2,staff faculty available interaction punctual delivery lecture improved
44,2,delivery
45,2,university term lecture delivery interaction punctuality
46,2,very good
47,2,interaction satisfied lecture delivery punctuality time
48,2,excellent depends teacher
49,2,ok
50,0,teacher arent job manner
51,2,teacher experienced interactive helpful punctual
52,1,teacher teaching fine
53,2,excellent
54,2,faculty interaction teacher
55,0,not good
56,0,faculty experienced time facing subject csec
57,2,it to good
58,2,everything is good
59,0,coming lecture grip subjectthey behave teach concept subject
60,1,wa regarding university grip subject lag teaching
61,1,normal
62,2,teaching activity university satisfied
63,2,faculty
64,2,satisfactory
65,1,improve subject
66,1,university teacher phd college fests related academic curriculum improved extent managed properlythe interaction lecture delivery lucidity punctuality top notch
67,2,university punctuality lecture delivery term interaction
68,0,interaction le lecture delivery fine coordination
69,2,lecture giving teach
70,0,university term interaction teacher fair interact understands hisher teaching remaining understand topic
71,2,university consists world diverse manages conduct event properlyi love university equal opportunity respect field
72,2,teacher pretty interactive depends gain knowledge teacher teacher punctual helpful exam time
73,1,teaching delivery reduce speed lecture delivery understand
74,2,overall rating activity nice teaching interaction lecture wa time fresh style delivering lecture thanks
