sentiment,reviews
0,teacher are punctual but they should also give us the some practical knowledge other than theortical
1,Good
1,Excellent lectures are delivered by teachers and all teachers are very punctual.
1,teachers give us all the information required to improve the performance.
1,Yes
1,good and punctual
1,It is good
1,It's good when compare with my Btech lectures and teaching activities.
1,way of teaching is good
0,"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good. Lecture delivery sometimes is not upto the mark and punctuality is fine."
1,As compared to other colleges and university our university is perfect in all the aspects
1,Lectures helps in clear our concept
0,"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student."
1,"University is very good at delivering proper lectures, also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input."
1,lecturer are punctual and can interact them easily.
0,Punctuality is good. Most of the teachers are not interacting with students .
-1,lecture delivery is not so good
1,"Discipline, punctuality , lecture delivery all are good but have to do some work for quality of lecture"
0,"Interaction is very good, accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems"
1,Perfect
1,It is really good
0,Very good teaching and management but too much load on student and working hours
-1,"In terms of lecture delivery and punctuality, it is good. However, in terms of interaction, it is very bad. There are some teachers who do not interact or listen to our problems, which indicates a lack of cooperation."
1,According to me everything is going well in accordance to interaction. More than enough is served.
-1,not effective and satisfactory in terms of lecture delivery by all the faculty .
1,Accurate
1,it is good depending on the faculty
1,"maintained punctuality, good lecture delivery"
0,average
1,"it is quite good , depending on teacher and their experience"
1,the way of teaching is good but the time more than enough
1,good teaching delivery
1,"good, teacher is delivery the lecture in the best way they can"
0,good and qualified teachers but few lacks in interaction with students and fails to describe a topic
1,"very good teaching facilities, lecture given are fruitful and teachers are punctual"
0,interaction is good but not with mostly male lecturers. punctuality is maintained by everyone but lecture delivery not peak quality.
1,all things are good
1,all activties are good
1,All is good. no other university is so serious about the concept of practicals.
1,"lecture delivery depends on teacher's knowledge, punctuality is good"
1,way of teaching is average
-1,not so good
1,the staff is highly punctual and interactive and encourage students to participate in the class
1,"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved"
1,good delivery
1,"our university is good in terms of lecture delivery, interaction and punctuality"
1,very good
1,"interaction satisfied, lecture delivery good, punctuality always on time"
1,Excellent but it depends upon teacher
1,it is ok
-1,some teachers aren't doing their jobs in very well manner
1,Some of the teachers are not well experienced but they are interactive and helpful and punctual.
0,not all the teachers are teaching well but it's fine
1,EXCELLENT
1,"The faculty is good ,interaction between student and teacher is also good"
-1,not good
-1,some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++)
1,its to good
1,everything is good
-1,"everything is good but when coming to some lectures who dont have a good grip on subject,they don't behave well with students and they dont even teach all the concepts in the subject."
0,"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching"
0,normal
1,teaching activities of our university is good. i am satisfied with it.
1,everything is good for faculty
1,satisfactory
0,good but not good . sir improve the subject
0,"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch."
1,"our university is good in punctuality, lecture delivery but it is not good in terms of interaction"
-1,"interaction is very less ,when it comes to lecture delivery its fine but the coordination not there between the lecturers"
1,All lectures are giving their best to teach the students
-1,our university is very good but in terms of interaction of teachers with students is not at all fair because they interact with only students understands his/her teaching they don't make remaining students to understand the topic
1,The university consists of a whole world in itself. It is diverse and manages to conduct all events properly.I love being the part of this university where we get equal and all opportunities in all respects and fields.
1,"teachers are pretty interactive, But it all depends on the student to gain as much as knowledge he can from the teacher. Teachers are punctual and very helpful during exams time."
0,teaching delivery is good .but it is better to reduce there speed of lecture delivery to understand the student better
1,"overall rating on this activity is 4.5/5 .very nice teaching and interaction between students and lectures was good, every time there will be new and fresh style in delivering the lectures ,thanks."
0,"excellent, but reduce the speed of teaching ,up to understand the students"
0,"teaching is ok but the interaction with the students need to improve, i mean they have to focus on dull students more than intelligents...."
1,Interaction is good but it should be more ...the rest is too perfect
1,"teachers are good in subject,and punctuality"
0,Everything would be fine if there are less number of students in our btech CSE.
0,faculties are doing quite well but need more senior lecturers.
1,satisfied
1,"examination department is not good, teaching is quite good, I cant get extra time for extra knowledge, interaction is good"
1,Well and Good
0,university management is extraordinary but some of the faculty is very bad
0,"some lectures are excellent, but not everyone"
1,It is very good learning in this university
0,it is boring
0,teaching is good but some lecturers are showing partiality between south people and north people
0,"teaching is good but some teachers are not able to interact properly and are not able to clear the concepts properly, teachers are punctual."
1,"Everything is very good. Interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains."
1,"I am very much satisfied with teaching faculty interms of interaction, lecture delivery, punctuality etc"
-1,they are showing partiality between north indians and south indians
1,"Interaction is satisfying, Lecture delivery is Good, Punctuality is Excellent"
-1,staff is showing partiality between north indians and south indians
1,excellent university the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual
0,lecture delivery and punctuality was good but the interaction with students was not good.
0,punctuality and lecture is good here but interaction isn't good.
1,good enough
1,"In this university there is good interaction with the students, Teachers in this university can deliver the lectures effectively, There is good punctuality in this university"
1,Very good indeed.
1,"Teaching is excellent, but lecture delivery is not up to the mark. Punctuality is good"
0,interaction of some faculty was good but not all faculty..
1,"good, and also like the teaching style"
1,"Interaction between students and teachers is good ,The lectures delivery is fine, punctuality is good"
1,not bad
1,It's Quite Good
0,teaching is good some lecturers are showing partiality between south people and north people
0,I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7 YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF.. SECURITY IS ABOVE 90%(IN CASE OF STUDENT IS WELL MANURED) ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE
1,All terms are good regarding the university activities
1,intraction is good and lecture delivery also good and then punctuality is also is good
1,all the given terms are good regarding the university
1,All the terms are good regarding the university activities.
-1,Some of the teacher are un experienced. Also they are unfair and baised. In fact many of the teachers are having few or no experience about the subject
1,IT IS GOING GOOD
0,content of courses are average
1,All courses material provide very good knowledge in depth .
-1,"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e. cramming, rote learning."
1,content of courses improves my knowledge
1,This semester university has provide best teachers
-1,Needs some improvement
0,Knowledge and depth of the course is good but while coming to the material it's not upto the mark.
0,"Knowledge, depth of course is good but course material are not up to the mark"
1,course content is knowledgeable
-1,Content of the courses is good but some courses need improvement. Course material is not up to the mark.
-1,Material of the course is not good enough
-1,sometimes proper course material is not required.
1,Easily available course material with sufficient knowledge gaining
1,"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher."
1,The course notes are very knowledgeable and proper.
